score	tpr	fpr	tp	tn	fp	fn
-60.6000	1.0000	1.0000	149.0000	0.0000	1781.0000	0.0000
-60.4712	1.0000	0.9994	149.0000	1.0000	1780.0000	0.0000
-60.3424	1.0000	0.9983	149.0000	3.0000	1778.0000	0.0000
-60.2136	1.0000	0.9978	149.0000	4.0000	1777.0000	0.0000
-60.0848	1.0000	0.9978	149.0000	4.0000	1777.0000	0.0000
-59.9560	1.0000	0.9966	149.0000	6.0000	1775.0000	0.0000
-59.8272	1.0000	0.9961	149.0000	7.0000	1774.0000	0.0000
-59.6984	1.0000	0.9961	149.0000	7.0000	1774.0000	0.0000
-59.5696	1.0000	0.9955	149.0000	8.0000	1773.0000	0.0000
-59.4408	1.0000	0.9927	149.0000	13.0000	1768.0000	0.0000
-59.3120	1.0000	0.9899	149.0000	18.0000	1763.0000	0.0000
-59.1832	1.0000	0.9893	149.0000	19.0000	1762.0000	0.0000
-59.0544	1.0000	0.9843	149.0000	28.0000	1753.0000	0.0000
-58.9256	1.0000	0.9832	149.0000	30.0000	1751.0000	0.0000
-58.7968	1.0000	0.9815	149.0000	33.0000	1748.0000	0.0000
-58.6680	1.0000	0.9736	149.0000	47.0000	1734.0000	0.0000
-58.5392	1.0000	0.9646	149.0000	63.0000	1718.0000	0.0000
-58.4104	1.0000	0.9618	149.0000	68.0000	1713.0000	0.0000
-58.2816	1.0000	0.9495	149.0000	90.0000	1691.0000	0.0000
-58.1528	0.9866	0.9231	147.0000	137.0000	1644.0000	2.0000
-58.0240	0.9866	0.9208	147.0000	141.0000	1640.0000	2.0000
-57.8952	0.9866	0.8978	147.0000	182.0000	1599.0000	2.0000
-57.7664	0.9866	0.8535	147.0000	261.0000	1520.0000	2.0000
-57.6376	0.9866	0.8490	147.0000	269.0000	1512.0000	2.0000
-57.5088	0.9866	0.7956	147.0000	364.0000	1417.0000	2.0000
-57.3800	0.9866	0.6261	147.0000	666.0000	1115.0000	2.0000
-57.2512	0.9866	0.6092	147.0000	696.0000	1085.0000	2.0000
-57.1224	0.9866	0.4919	147.0000	905.0000	876.0000	2.0000
-56.9936	0.9597	0.4896	143.0000	909.0000	872.0000	6.0000
-56.8648	0.9597	0.4385	143.0000	1000.0000	781.0000	6.0000
