score	tpr	fpr	tp	tn	fp	fn
-57.9000	1.0000	1.0000	1769.0000	0.0000	161.0000	0.0000
-57.8599	0.9994	1.0000	1768.0000	0.0000	161.0000	1.0000
-57.8198	0.9994	1.0000	1768.0000	0.0000	161.0000	1.0000
-57.7797	0.9994	1.0000	1768.0000	0.0000	161.0000	1.0000
-57.7396	0.9994	1.0000	1768.0000	0.0000	161.0000	1.0000
-57.6995	0.9994	1.0000	1768.0000	0.0000	161.0000	1.0000
-57.6595	0.9994	1.0000	1768.0000	0.0000	161.0000	1.0000
-57.6194	0.9989	1.0000	1767.0000	0.0000	161.0000	2.0000
-57.5793	0.9989	1.0000	1767.0000	0.0000	161.0000	2.0000
-57.5392	0.9989	1.0000	1767.0000	0.0000	161.0000	2.0000
-57.4991	0.9989	1.0000	1767.0000	0.0000	161.0000	2.0000
-57.4590	0.9989	1.0000	1767.0000	0.0000	161.0000	2.0000
-57.4189	0.9989	0.9938	1767.0000	1.0000	160.0000	2.0000
-57.3788	0.9983	0.9938	1766.0000	1.0000	160.0000	3.0000
-57.3387	0.9983	0.9938	1766.0000	1.0000	160.0000	3.0000
-57.2986	0.9983	0.9938	1766.0000	1.0000	160.0000	3.0000
-57.2585	0.9983	0.9814	1766.0000	3.0000	158.0000	3.0000
-57.2185	0.9983	0.9814	1766.0000	3.0000	158.0000	3.0000
-57.1784	0.9977	0.9814	1765.0000	3.0000	158.0000	4.0000
-57.1383	0.9977	0.9814	1765.0000	3.0000	158.0000	4.0000
-57.0982	0.9977	0.9814	1765.0000	3.0000	158.0000	4.0000
-57.0581	0.9972	0.9814	1764.0000	3.0000	158.0000	5.0000
-57.0180	0.9960	0.9814	1762.0000	3.0000	158.0000	7.0000
-56.9779	0.9960	0.9814	1762.0000	3.0000	158.0000	7.0000
-56.9378	0.9949	0.9627	1760.0000	6.0000	155.0000	9.0000
-56.8977	0.9949	0.9627	1760.0000	6.0000	155.0000	9.0000
-56.8576	0.9949	0.9565	1760.0000	7.0000	154.0000	9.0000
-56.8175	0.9949	0.9565	1760.0000	7.0000	154.0000	9.0000
-56.7775	0.9943	0.9379	1759.0000	10.0000	151.0000	10.0000
-56.7374	0.9927	0.9379	1756.0000	10.0000	151.0000	13.0000
-56.6973	0.9927	0.9317	1756.0000	11.0000	150.0000	13.0000
-56.6572	0.9915	0.9317	1754.0000	11.0000	150.0000	15.0000
-56.6171	0.9904	0.9255	1752.0000	12.0000	149.0000	17.0000
-56.5770	0.9904	0.9130	1752.0000	14.0000	147.0000	17.0000
-56.5369	0.9898	0.9006	1751.0000	16.0000	145.0000	18.0000
-56.4968	0.9881	0.8944	1748.0000	17.0000	144.0000	21.0000
-56.4567	0.9864	0.8882	1745.0000	18.0000	143.0000	24.0000
-56.4166	0.9864	0.8820	1745.0000	19.0000	142.0000	24.0000
-56.3766	0.9842	0.8696	1741.0000	21.0000	140.0000	28.0000
-56.3365	0.9830	0.8696	1739.0000	21.0000	140.0000	30.0000
-56.2964	0.9830	0.8696	1739.0000	21.0000	140.0000	30.0000
-56.2563	0.9802	0.8634	1734.0000	22.0000	139.0000	35.0000
-56.2162	0.9706	0.8447	1717.0000	25.0000	136.0000	52.0000
-56.1761	0.9700	0.8447	1716.0000	25.0000	136.0000	53.0000
-56.1360	0.9666	0.8447	1710.0000	25.0000	136.0000	59.0000
-56.0959	0.9661	0.8447	1709.0000	25.0000	136.0000	60.0000
-56.0558	0.9655	0.8447	1708.0000	25.0000	136.0000	61.0000
-56.0157	0.9389	0.8261	1661.0000	28.0000	133.0000	108.0000
-55.9756	0.9389	0.8075	1661.0000	31.0000	130.0000	108.0000
-55.9356	0.9322	0.7888	1649.0000	34.0000	127.0000	120.0000
-55.8955	0.9248	0.7764	1636.0000	36.0000	125.0000	133.0000
-55.8554	0.9107	0.7267	1611.0000	44.0000	117.0000	158.0000
-55.8153	0.8886	0.7081	1572.0000	47.0000	114.0000	197.0000
-55.7752	0.8841	0.6957	1564.0000	49.0000	112.0000	205.0000
-55.7351	0.8626	0.6708	1526.0000	53.0000	108.0000	243.0000
-55.6950	0.8485	0.6211	1501.0000	61.0000	100.0000	268.0000
-55.6549	0.8349	0.6025	1477.0000	64.0000	97.0000	292.0000
-55.6148	0.8202	0.5528	1451.0000	72.0000	89.0000	318.0000
-55.5747	0.8050	0.4720	1424.0000	85.0000	76.0000	345.0000
-55.5346	0.7965	0.4534	1409.0000	88.0000	73.0000	360.0000
-55.4946	0.7643	0.4037	1352.0000	96.0000	65.0000	417.0000
-55.4545	0.7609	0.3913	1346.0000	98.0000	63.0000	423.0000
-55.4144	0.7558	0.3913	1337.0000	98.0000	63.0000	432.0000
-55.3743	0.7388	0.3789	1307.0000	100.0000	61.0000	462.0000
-55.3342	0.7388	0.3789	1307.0000	100.0000	61.0000	462.0000
