score	tpr	fpr	tp	tn	fp	fn
-57.7000	1.0000	1.0000	1819.0000	0.0000	111.0000	0.0000
-57.6569	1.0000	1.0000	1819.0000	0.0000	111.0000	0.0000
-57.6138	0.9995	1.0000	1818.0000	0.0000	111.0000	1.0000
-57.5707	0.9995	1.0000	1818.0000	0.0000	111.0000	1.0000
-57.5277	0.9995	1.0000	1818.0000	0.0000	111.0000	1.0000
-57.4846	0.9995	0.9910	1818.0000	1.0000	110.0000	1.0000
-57.4415	0.9995	0.9910	1818.0000	1.0000	110.0000	1.0000
-57.3984	0.9995	0.9910	1818.0000	1.0000	110.0000	1.0000
-57.3553	0.9989	0.9910	1817.0000	1.0000	110.0000	2.0000
-57.3122	0.9984	0.9820	1816.0000	2.0000	109.0000	3.0000
-57.2692	0.9984	0.9820	1816.0000	2.0000	109.0000	3.0000
-57.2261	0.9984	0.9730	1816.0000	3.0000	108.0000	3.0000
-57.1830	0.9978	0.9640	1815.0000	4.0000	107.0000	4.0000
-57.1399	0.9978	0.9550	1815.0000	5.0000	106.0000	4.0000
-57.0968	0.9973	0.9550	1814.0000	5.0000	106.0000	5.0000
-57.0537	0.9973	0.9550	1814.0000	5.0000	106.0000	5.0000
-57.0106	0.9973	0.9550	1814.0000	5.0000	106.0000	5.0000
-56.9676	0.9962	0.9459	1812.0000	6.0000	105.0000	7.0000
-56.9245	0.9956	0.9369	1811.0000	7.0000	104.0000	8.0000
-56.8814	0.9956	0.9369	1811.0000	7.0000	104.0000	8.0000
-56.8383	0.9956	0.9369	1811.0000	7.0000	104.0000	8.0000
-56.7952	0.9951	0.9369	1810.0000	7.0000	104.0000	9.0000
-56.7521	0.9951	0.9279	1810.0000	8.0000	103.0000	9.0000
-56.7091	0.9940	0.9099	1808.0000	10.0000	101.0000	11.0000
-56.6660	0.9934	0.9099	1807.0000	10.0000	101.0000	12.0000
-56.6229	0.9923	0.9099	1805.0000	10.0000	101.0000	14.0000
-56.5798	0.9912	0.9009	1803.0000	11.0000	100.0000	16.0000
-56.5367	0.9912	0.8829	1803.0000	13.0000	98.0000	16.0000
-56.4936	0.9901	0.8649	1801.0000	15.0000	96.0000	18.0000
-56.4506	0.9896	0.8649	1800.0000	15.0000	96.0000	19.0000
-56.4075	0.9890	0.8559	1799.0000	16.0000	95.0000	20.0000
-56.3644	0.9885	0.8378	1798.0000	18.0000	93.0000	21.0000
-56.3213	0.9863	0.8288	1794.0000	19.0000	92.0000	25.0000
-56.2782	0.9846	0.8108	1791.0000	21.0000	90.0000	28.0000
-56.2351	0.9835	0.8018	1789.0000	22.0000	89.0000	30.0000
-56.1920	0.9802	0.8018	1783.0000	22.0000	89.0000	36.0000
-56.1490	0.9769	0.7928	1777.0000	23.0000	88.0000	42.0000
-56.1059	0.9747	0.7928	1773.0000	23.0000	88.0000	46.0000
-56.0628	0.9747	0.7658	1773.0000	26.0000	85.0000	46.0000
-56.0197	0.9720	0.7658	1768.0000	26.0000	85.0000	51.0000
-55.9766	0.9621	0.7387	1750.0000	29.0000	82.0000	69.0000
-55.9335	0.9555	0.7297	1738.0000	30.0000	81.0000	81.0000
-55.8905	0.9511	0.6937	1730.0000	34.0000	77.0000	89.0000
-55.8474	0.9456	0.6847	1720.0000	35.0000	76.0000	99.0000
-55.8043	0.9351	0.6577	1701.0000	38.0000	73.0000	118.0000
-55.7612	0.9241	0.6396	1681.0000	40.0000	71.0000	138.0000
-55.7181	0.9093	0.5766	1654.0000	47.0000	64.0000	165.0000
-55.6750	0.8988	0.5586	1635.0000	49.0000	62.0000	184.0000
-55.6319	0.8933	0.5405	1625.0000	51.0000	60.0000	194.0000
-55.5889	0.8824	0.5045	1605.0000	55.0000	56.0000	214.0000
-55.5458	0.8763	0.4865	1594.0000	57.0000	54.0000	225.0000
-55.5027	0.8549	0.4865	1555.0000	57.0000	54.0000	264.0000
-55.4596	0.8334	0.4595	1516.0000	60.0000	51.0000	303.0000
-55.4165	0.8252	0.4414	1501.0000	62.0000	49.0000	318.0000
-55.3734	0.8125	0.4414	1478.0000	62.0000	49.0000	341.0000
-55.3304	0.8059	0.4054	1466.0000	66.0000	45.0000	353.0000
-55.2873	0.7933	0.3964	1443.0000	67.0000	44.0000	376.0000
-55.2442	0.7784	0.3694	1416.0000	70.0000	41.0000	403.0000
-55.2011	0.7521	0.3604	1368.0000	71.0000	40.0000	451.0000
-55.1580	0.7356	0.3243	1338.0000	75.0000	36.0000	481.0000
-55.1149	0.7158	0.3153	1302.0000	76.0000	35.0000	517.0000
-55.0718	0.7004	0.2793	1274.0000	80.0000	31.0000	545.0000
-55.0288	0.6822	0.2703	1241.0000	81.0000	30.0000	578.0000
-54.9857	0.6564	0.2613	1194.0000	82.0000	29.0000	625.0000
-54.9426	0.6394	0.2613	1163.0000	82.0000	29.0000	656.0000
