score	tpr	fpr	ppv	tp	tn	fp	fn
-57.8000	1.0000	1.0000	0.9404	1815.0000	0.0000	115.0000	0.0000
-57.7515	0.9994	1.0000	0.9404	1814.0000	0.0000	115.0000	1.0000
-57.7030	0.9994	1.0000	0.9404	1814.0000	0.0000	115.0000	1.0000
-57.6545	0.9994	0.9913	0.9409	1814.0000	1.0000	114.0000	1.0000
-57.6060	0.9994	0.9913	0.9409	1814.0000	1.0000	114.0000	1.0000
-57.5575	0.9994	0.9913	0.9409	1814.0000	1.0000	114.0000	1.0000
-57.5090	0.9989	0.9913	0.9408	1813.0000	1.0000	114.0000	2.0000
-57.4605	0.9983	0.9826	0.9413	1812.0000	2.0000	113.0000	3.0000
-57.4120	0.9983	0.9826	0.9413	1812.0000	2.0000	113.0000	3.0000
-57.3635	0.9983	0.9826	0.9413	1812.0000	2.0000	113.0000	3.0000
-57.3150	0.9983	0.9826	0.9413	1812.0000	2.0000	113.0000	3.0000
-57.2665	0.9983	0.9826	0.9413	1812.0000	2.0000	113.0000	3.0000
-57.2180	0.9983	0.9565	0.9428	1812.0000	5.0000	110.0000	3.0000
-57.1695	0.9983	0.9565	0.9428	1812.0000	5.0000	110.0000	3.0000
-57.1210	0.9978	0.9565	0.9427	1811.0000	5.0000	110.0000	4.0000
-57.0725	0.9978	0.9565	0.9427	1811.0000	5.0000	110.0000	4.0000
-57.0240	0.9972	0.9565	0.9427	1810.0000	5.0000	110.0000	5.0000
-56.9755	0.9972	0.9478	0.9432	1810.0000	6.0000	109.0000	5.0000
-56.9270	0.9967	0.9304	0.9442	1809.0000	8.0000	107.0000	6.0000
-56.8785	0.9961	0.9304	0.9441	1808.0000	8.0000	107.0000	7.0000
-56.8300	0.9950	0.9217	0.9446	1806.0000	9.0000	106.0000	9.0000
-56.7815	0.9945	0.9130	0.9450	1805.0000	10.0000	105.0000	10.0000
-56.7330	0.9923	0.8870	0.9464	1801.0000	13.0000	102.0000	14.0000
-56.6845	0.9917	0.8783	0.9469	1800.0000	14.0000	101.0000	15.0000
-56.6360	0.9906	0.8783	0.9468	1798.0000	14.0000	101.0000	17.0000
-56.5875	0.9906	0.8609	0.9478	1798.0000	16.0000	99.0000	17.0000
-56.5390	0.9901	0.8522	0.9483	1797.0000	17.0000	98.0000	18.0000
-56.4905	0.9884	0.8522	0.9482	1794.0000	17.0000	98.0000	21.0000
-56.4420	0.9879	0.8348	0.9492	1793.0000	19.0000	96.0000	22.0000
-56.3935	0.9873	0.8261	0.9497	1792.0000	20.0000	95.0000	23.0000
-56.3450	0.9840	0.8087	0.9505	1786.0000	22.0000	93.0000	29.0000
-56.2965	0.9796	0.8087	0.9503	1778.0000	22.0000	93.0000	37.0000
-56.2480	0.9774	0.8087	0.9502	1774.0000	22.0000	93.0000	41.0000
-56.1995	0.9769	0.8000	0.9507	1773.0000	23.0000	92.0000	42.0000
-56.1510	0.9730	0.7826	0.9515	1766.0000	25.0000	90.0000	49.0000
-56.1025	0.9642	0.7739	0.9516	1750.0000	26.0000	89.0000	65.0000
-56.0540	0.9576	0.7565	0.9523	1738.0000	28.0000	87.0000	77.0000
-56.0055	0.9543	0.7217	0.9543	1732.0000	32.0000	83.0000	83.0000
-55.9570	0.9471	0.7130	0.9545	1719.0000	33.0000	82.0000	96.0000
-55.9085	0.9344	0.6957	0.9550	1696.0000	35.0000	80.0000	119.0000
-55.8600	0.9207	0.6696	0.9559	1671.0000	38.0000	77.0000	144.0000
-55.8115	0.9113	0.6435	0.9572	1654.0000	41.0000	74.0000	161.0000
-55.7630	0.9030	0.6261	0.9579	1639.0000	43.0000	72.0000	176.0000
-55.7145	0.8964	0.5913	0.9599	1627.0000	47.0000	68.0000	188.0000
-55.6660	0.8865	0.5565	0.9617	1609.0000	51.0000	64.0000	206.0000
-55.6175	0.8562	0.5130	0.9634	1554.0000	56.0000	59.0000	261.0000
-55.5690	0.8430	0.4870	0.9647	1530.0000	59.0000	56.0000	285.0000
-55.5205	0.8309	0.4696	0.9654	1508.0000	61.0000	54.0000	307.0000
-55.4720	0.8215	0.4609	0.9657	1491.0000	62.0000	53.0000	324.0000
-55.4235	0.8044	0.4261	0.9675	1460.0000	66.0000	49.0000	355.0000
-55.3750	0.7868	0.4087	0.9681	1428.0000	68.0000	47.0000	387.0000
-55.3265	0.7614	0.3913	0.9685	1382.0000	70.0000	45.0000	433.0000
-55.2780	0.7455	0.3652	0.9699	1353.0000	73.0000	42.0000	462.0000
-55.2295	0.7306	0.3304	0.9721	1326.0000	77.0000	38.0000	489.0000
-55.1810	0.7135	0.3130	0.9730	1295.0000	79.0000	36.0000	520.0000
-55.1325	0.6871	0.3043	0.9727	1247.0000	80.0000	35.0000	568.0000
-55.0840	0.6661	0.2870	0.9734	1209.0000	82.0000	33.0000	606.0000
-55.0355	0.6496	0.2783	0.9736	1179.0000	83.0000	32.0000	636.0000
-54.9870	0.6336	0.2609	0.9746	1150.0000	85.0000	30.0000	665.0000
-54.9385	0.6011	0.2522	0.9741	1091.0000	86.0000	29.0000	724.0000
-54.8900	0.5598	0.2435	0.9732	1016.0000	87.0000	28.0000	799.0000
-54.8415	0.5190	0.2435	0.9711	942.0000	87.0000	28.0000	873.0000
-54.7930	0.5047	0.1826	0.9776	916.0000	94.0000	21.0000	899.0000
-54.7445	0.4689	0.1652	0.9782	851.0000	96.0000	19.0000	964.0000
-54.6960	0.4413	0.1478	0.9792	801.0000	98.0000	17.0000	1014.0000
-54.6475	0.4143	0.1130	0.9830	752.0000	102.0000	13.0000	1063.0000
-54.5990	0.3906	0.1043	0.9834	709.0000	103.0000	12.0000	1106.0000
-54.5505	0.3664	0.1043	0.9823	665.0000	103.0000	12.0000	1150.0000
-54.5020	0.3455	0.0870	0.9843	627.0000	105.0000	10.0000	1188.0000
-54.4535	0.3278	0.0870	0.9835	595.0000	105.0000	10.0000	1220.0000
-54.4050	0.2854	0.0870	0.9811	518.0000	105.0000	10.0000	1297.0000
-54.3565	0.2567	0.0783	0.9811	466.0000	106.0000	9.0000	1349.0000
-54.3080	0.2463	0.0783	0.9803	447.0000	106.0000	9.0000	1368.0000
-54.2595	0.2320	0.0696	0.9814	421.0000	107.0000	8.0000	1394.0000
-54.2110	0.2242	0.0609	0.9831	407.0000	108.0000	7.0000	1408.0000
-54.1625	0.1917	0.0522	0.9831	348.0000	109.0000	6.0000	1467.0000
-54.1140	0.1603	0.0435	0.9831	291.0000	110.0000	5.0000	1524.0000
-54.0655	0.1218	0.0435	0.9779	221.0000	110.0000	5.0000	1594.0000
-54.0170	0.1196	0.0348	0.9819	217.0000	111.0000	4.0000	1598.0000
-53.9685	0.1047	0.0348	0.9794	190.0000	111.0000	4.0000	1625.0000
-53.9200	0.0920	0.0348	0.9766	167.0000	111.0000	4.0000	1648.0000
-53.8715	0.0650	0.0261	0.9752	118.0000	112.0000	3.0000	1697.0000
-53.8230	0.0623	0.0174	0.9826	113.0000	113.0000	2.0000	1702.0000
-53.7745	0.0606	0.0087	0.9910	110.0000	114.0000	1.0000	1705.0000
-53.7260	0.0556	0.0087	0.9902	101.0000	114.0000	1.0000	1714.0000
-53.6775	0.0320	0.0087	0.9831	58.0000	114.0000	1.0000	1757.0000
-53.6290	0.0270	0.0087	0.9800	49.0000	114.0000	1.0000	1766.0000
-53.5805	0.0259	0.0000	1.0000	47.0000	115.0000	0.0000	1768.0000
-53.5320	0.0259	0.0000	1.0000	47.0000	115.0000	0.0000	1768.0000
-53.4835	0.0165	0.0000	1.0000	30.0000	115.0000	0.0000	1785.0000
-53.4350	0.0061	0.0000	1.0000	11.0000	115.0000	0.0000	1804.0000
-53.3865	0.0055	0.0000	1.0000	10.0000	115.0000	0.0000	1805.0000
-53.3380	0.0055	0.0000	1.0000	10.0000	115.0000	0.0000	1805.0000
-53.2895	0.0044	0.0000	1.0000	8.0000	115.0000	0.0000	1807.0000
-53.2410	0.0044	0.0000	1.0000	8.0000	115.0000	0.0000	1807.0000
-53.1925	0.0006	0.0000	1.0000	1.0000	115.0000	0.0000	1814.0000
-53.1440	0.0006	0.0000	1.0000	1.0000	115.0000	0.0000	1814.0000
-53.0955	0.0006	0.0000	1.0000	1.0000	115.0000	0.0000	1814.0000
-53.0470	0.0006	0.0000	1.0000	1.0000	115.0000	0.0000	1814.0000
-52.9985	0.0006	0.0000	1.0000	1.0000	115.0000	0.0000	1814.0000
-52.9500	0.0006	0.0000	1.0000	1.0000	115.0000	0.0000	1814.0000
-52.9015	0.0000	0.0000	0.0000	0.0000	115.0000	0.0000	1815.0000
-52.8530	0.0000	0.0000	0.0000	0.0000	115.0000	0.0000	1815.0000
