score	tpr	fpr	ppv	tp	tn	fp	fn
-57.8000	1.0000	1.0000	0.9383	1811.0000	0.0000	119.0000	0.0000
-57.7112	0.9994	1.0000	0.9383	1810.0000	0.0000	119.0000	1.0000
-57.6224	0.9994	0.9916	0.9388	1810.0000	1.0000	118.0000	1.0000
-57.5336	0.9994	0.9916	0.9388	1810.0000	1.0000	118.0000	1.0000
-57.4448	0.9983	0.9748	0.9397	1808.0000	3.0000	116.0000	3.0000
-57.3560	0.9983	0.9748	0.9397	1808.0000	3.0000	116.0000	3.0000
-57.2672	0.9978	0.9664	0.9402	1807.0000	4.0000	115.0000	4.0000
-57.1784	0.9978	0.9496	0.9411	1807.0000	6.0000	113.0000	4.0000
-57.0896	0.9967	0.9496	0.9411	1805.0000	6.0000	113.0000	6.0000
-57.0008	0.9961	0.9160	0.9430	1804.0000	10.0000	109.0000	7.0000
-56.9120	0.9956	0.8992	0.9440	1803.0000	12.0000	107.0000	8.0000
-56.8232	0.9945	0.8908	0.9444	1801.0000	13.0000	106.0000	10.0000
-56.7344	0.9923	0.8824	0.9448	1797.0000	14.0000	105.0000	14.0000
-56.6456	0.9906	0.8655	0.9457	1794.0000	16.0000	103.0000	17.0000
-56.5568	0.9895	0.8403	0.9471	1792.0000	19.0000	100.0000	19.0000
-56.4680	0.9867	0.8235	0.9480	1787.0000	21.0000	98.0000	24.0000
-56.3792	0.9851	0.8067	0.9489	1784.0000	23.0000	96.0000	27.0000
-56.2904	0.9790	0.7983	0.9491	1773.0000	24.0000	95.0000	38.0000
-56.2016	0.9763	0.7983	0.9490	1768.0000	24.0000	95.0000	43.0000
-56.1128	0.9641	0.7647	0.9505	1746.0000	28.0000	91.0000	65.0000
-56.0241	0.9525	0.7227	0.9525	1725.0000	33.0000	86.0000	86.0000
-55.9353	0.9393	0.6891	0.9540	1701.0000	37.0000	82.0000	110.0000
-55.8465	0.9105	0.6387	0.9559	1649.0000	43.0000	76.0000	162.0000
-55.7577	0.8901	0.5966	0.9578	1612.0000	48.0000	71.0000	199.0000
-55.6689	0.8747	0.5378	0.9612	1584.0000	55.0000	64.0000	227.0000
