score	tpr	fpr	ppv	tp	tn	fp	fn
-58.1000	1.0000	1.0000	0.9124	1761.0000	0.0000	169.0000	0.0000
-58.0545	1.0000	1.0000	0.9124	1761.0000	0.0000	169.0000	0.0000
-58.0090	0.9994	1.0000	0.9124	1760.0000	0.0000	169.0000	1.0000
-57.9635	0.9994	1.0000	0.9124	1760.0000	0.0000	169.0000	1.0000
-57.9180	0.9994	1.0000	0.9124	1760.0000	0.0000	169.0000	1.0000
-57.8725	0.9994	1.0000	0.9124	1760.0000	0.0000	169.0000	1.0000
-57.8270	0.9994	1.0000	0.9124	1760.0000	0.0000	169.0000	1.0000
-57.7815	0.9989	1.0000	0.9123	1759.0000	0.0000	169.0000	2.0000
-57.7359	0.9989	1.0000	0.9123	1759.0000	0.0000	169.0000	2.0000
-57.6904	0.9989	1.0000	0.9123	1759.0000	0.0000	169.0000	2.0000
-57.6449	0.9989	1.0000	0.9123	1759.0000	0.0000	169.0000	2.0000
-57.5994	0.9989	1.0000	0.9123	1759.0000	0.0000	169.0000	2.0000
-57.5539	0.9989	1.0000	0.9123	1759.0000	0.0000	169.0000	2.0000
-57.5084	0.9983	1.0000	0.9123	1758.0000	0.0000	169.0000	3.0000
-57.4629	0.9983	0.9941	0.9128	1758.0000	1.0000	168.0000	3.0000
-57.4174	0.9983	0.9941	0.9128	1758.0000	1.0000	168.0000	3.0000
-57.3719	0.9983	0.9941	0.9128	1758.0000	1.0000	168.0000	3.0000
-57.3264	0.9983	0.9882	0.9132	1758.0000	2.0000	167.0000	3.0000
-57.2809	0.9983	0.9882	0.9132	1758.0000	2.0000	167.0000	3.0000
-57.2354	0.9983	0.9822	0.9137	1758.0000	3.0000	166.0000	3.0000
-57.1899	0.9977	0.9822	0.9137	1757.0000	3.0000	166.0000	4.0000
-57.1444	0.9977	0.9763	0.9142	1757.0000	4.0000	165.0000	4.0000
-57.0989	0.9966	0.9763	0.9141	1755.0000	4.0000	165.0000	6.0000
-57.0533	0.9960	0.9763	0.9140	1754.0000	4.0000	165.0000	7.0000
-57.0078	0.9960	0.9763	0.9140	1754.0000	4.0000	165.0000	7.0000
-56.9623	0.9960	0.9704	0.9145	1754.0000	5.0000	164.0000	7.0000
-56.9168	0.9960	0.9645	0.9150	1754.0000	6.0000	163.0000	7.0000
-56.8713	0.9943	0.9586	0.9153	1751.0000	7.0000	162.0000	10.0000
-56.8258	0.9938	0.9349	0.9172	1750.0000	11.0000	158.0000	11.0000
-56.7803	0.9915	0.9231	0.9180	1746.0000	13.0000	156.0000	15.0000
-56.7348	0.9915	0.9231	0.9180	1746.0000	13.0000	156.0000	15.0000
-56.6893	0.9909	0.9231	0.9179	1745.0000	13.0000	156.0000	16.0000
-56.6438	0.9886	0.9172	0.9182	1741.0000	14.0000	155.0000	20.0000
-56.5983	0.9875	0.9053	0.9191	1739.0000	16.0000	153.0000	22.0000
-56.5528	0.9875	0.8935	0.9201	1739.0000	18.0000	151.0000	22.0000
-56.5073	0.9858	0.8876	0.9205	1736.0000	19.0000	150.0000	25.0000
-56.4618	0.9858	0.8876	0.9205	1736.0000	19.0000	150.0000	25.0000
-56.4163	0.9835	0.8876	0.9203	1732.0000	19.0000	150.0000	29.0000
-56.3708	0.9756	0.8757	0.9207	1718.0000	21.0000	148.0000	43.0000
-56.3252	0.9727	0.8698	0.9210	1713.0000	22.0000	147.0000	48.0000
-56.2797	0.9693	0.8639	0.9212	1707.0000	23.0000	146.0000	54.0000
-56.2342	0.9682	0.8639	0.9211	1705.0000	23.0000	146.0000	56.0000
-56.1887	0.9637	0.8521	0.9218	1697.0000	25.0000	144.0000	64.0000
-56.1432	0.9449	0.8402	0.9214	1664.0000	27.0000	142.0000	97.0000
-56.0977	0.9432	0.8343	0.9218	1661.0000	28.0000	141.0000	100.0000
-56.0522	0.9313	0.8225	0.9219	1640.0000	30.0000	139.0000	121.0000
-56.0067	0.9194	0.7870	0.9241	1619.0000	36.0000	133.0000	142.0000
-55.9612	0.9035	0.7574	0.9255	1591.0000	41.0000	128.0000	170.0000
-55.9157	0.8978	0.7396	0.9267	1581.0000	44.0000	125.0000	180.0000
-55.8702	0.8734	0.7219	0.9265	1538.0000	47.0000	122.0000	223.0000
-55.8247	0.8677	0.6686	0.9311	1528.0000	56.0000	113.0000	233.0000
-55.7792	0.8535	0.6450	0.9324	1503.0000	60.0000	109.0000	258.0000
-55.7337	0.8410	0.6036	0.9356	1481.0000	67.0000	102.0000	280.0000
-55.6882	0.8257	0.5740	0.9375	1454.0000	72.0000	97.0000	307.0000
-55.6426	0.7978	0.5385	0.9392	1405.0000	78.0000	91.0000	356.0000
-55.5971	0.7899	0.4675	0.9463	1391.0000	90.0000	79.0000	370.0000
-55.5516	0.7768	0.4201	0.9507	1368.0000	98.0000	71.0000	393.0000
-55.5061	0.7638	0.4024	0.9519	1345.0000	101.0000	68.0000	416.0000
-55.4606	0.7575	0.3905	0.9529	1334.0000	103.0000	66.0000	427.0000
-55.4151	0.7473	0.3846	0.9529	1316.0000	104.0000	65.0000	445.0000
-55.3696	0.7121	0.3550	0.9543	1254.0000	109.0000	60.0000	507.0000
-55.3241	0.7098	0.3373	0.9564	1250.0000	112.0000	57.0000	511.0000
-55.2786	0.6922	0.3314	0.9561	1219.0000	113.0000	56.0000	542.0000
-55.2331	0.6899	0.3077	0.9590	1215.0000	117.0000	52.0000	546.0000
-55.1876	0.6740	0.3077	0.9580	1187.0000	117.0000	52.0000	574.0000
-55.1421	0.6530	0.3077	0.9567	1150.0000	117.0000	52.0000	611.0000
-55.0966	0.6479	0.2959	0.9580	1141.0000	119.0000	50.0000	620.0000
-55.0511	0.6229	0.2959	0.9564	1097.0000	119.0000	50.0000	664.0000
-55.0056	0.5826	0.2781	0.9562	1026.0000	122.0000	47.0000	735.0000
-54.9600	0.5474	0.2663	0.9554	964.0000	124.0000	45.0000	797.0000
-54.9145	0.4742	0.2308	0.9554	835.0000	130.0000	39.0000	926.0000
-54.8690	0.4299	0.1775	0.9619	757.0000	139.0000	30.0000	1004.0000
-54.8235	0.4259	0.1243	0.9728	750.0000	148.0000	21.0000	1011.0000
-54.7780	0.3566	0.1124	0.9706	628.0000	150.0000	19.0000	1133.0000
-54.7325	0.3248	0.0769	0.9778	572.0000	156.0000	13.0000	1189.0000
-54.6870	0.3186	0.0592	0.9825	561.0000	159.0000	10.0000	1200.0000
-54.6415	0.2743	0.0533	0.9817	483.0000	160.0000	9.0000	1278.0000
-54.5960	0.2703	0.0473	0.9835	476.0000	161.0000	8.0000	1285.0000
-54.5505	0.2618	0.0473	0.9829	461.0000	161.0000	8.0000	1300.0000
-54.5050	0.2544	0.0414	0.9846	448.0000	162.0000	7.0000	1313.0000
-54.4595	0.2493	0.0414	0.9843	439.0000	162.0000	7.0000	1322.0000
-54.4140	0.2482	0.0414	0.9842	437.0000	162.0000	7.0000	1324.0000
-54.3685	0.2396	0.0414	0.9837	422.0000	162.0000	7.0000	1339.0000
-54.3230	0.2379	0.0414	0.9836	419.0000	162.0000	7.0000	1342.0000
-54.2775	0.2357	0.0414	0.9834	415.0000	162.0000	7.0000	1346.0000
-54.2319	0.2345	0.0414	0.9833	413.0000	162.0000	7.0000	1348.0000
-54.1864	0.1045	0.0296	0.9735	184.0000	164.0000	5.0000	1577.0000
-54.1409	0.1045	0.0237	0.9787	184.0000	165.0000	4.0000	1577.0000
-54.0954	0.1016	0.0178	0.9835	179.0000	166.0000	3.0000	1582.0000
-54.0499	0.1016	0.0178	0.9835	179.0000	166.0000	3.0000	1582.0000
-54.0044	0.0290	0.0178	0.9444	51.0000	166.0000	3.0000	1710.0000
-53.9589	0.0290	0.0178	0.9444	51.0000	166.0000	3.0000	1710.0000
-53.9134	0.0199	0.0059	0.9722	35.0000	168.0000	1.0000	1726.0000
-53.8679	0.0199	0.0000	1.0000	35.0000	169.0000	0.0000	1726.0000
-53.8224	0.0187	0.0000	1.0000	33.0000	169.0000	0.0000	1728.0000
-53.7769	0.0187	0.0000	1.0000	33.0000	169.0000	0.0000	1728.0000
-53.7314	0.0051	0.0000	1.0000	9.0000	169.0000	0.0000	1752.0000
-53.6859	0.0051	0.0000	1.0000	9.0000	169.0000	0.0000	1752.0000
-53.6404	0.0034	0.0000	1.0000	6.0000	169.0000	0.0000	1755.0000
-53.5949	0.0034	0.0000	1.0000	6.0000	169.0000	0.0000	1755.0000
-53.5493	0.0034	0.0000	1.0000	6.0000	169.0000	0.0000	1755.0000
