score	tpr	fpr	ppv	tp	tn	fp	fn
-58.1000	1.0000	1.0000	0.9114	1759.0000	0.0000	171.0000	0.0000
-58.0142	0.9994	1.0000	0.9114	1758.0000	0.0000	171.0000	1.0000
-57.9284	0.9994	1.0000	0.9114	1758.0000	0.0000	171.0000	1.0000
-57.8426	0.9994	1.0000	0.9114	1758.0000	0.0000	171.0000	1.0000
-57.7568	0.9989	1.0000	0.9113	1757.0000	0.0000	171.0000	2.0000
-57.6710	0.9989	1.0000	0.9113	1757.0000	0.0000	171.0000	2.0000
-57.5852	0.9989	0.9942	0.9118	1757.0000	1.0000	170.0000	2.0000
-57.4994	0.9983	0.9942	0.9117	1756.0000	1.0000	170.0000	3.0000
-57.4136	0.9983	0.9883	0.9122	1756.0000	2.0000	169.0000	3.0000
-57.3278	0.9977	0.9883	0.9122	1755.0000	2.0000	169.0000	4.0000
-57.2420	0.9977	0.9766	0.9131	1755.0000	4.0000	167.0000	4.0000
-57.1562	0.9960	0.9649	0.9139	1752.0000	6.0000	165.0000	7.0000
-57.0704	0.9949	0.9649	0.9138	1750.0000	6.0000	165.0000	9.0000
-56.9846	0.9949	0.9649	0.9138	1750.0000	6.0000	165.0000	9.0000
-56.8987	0.9943	0.9591	0.9143	1749.0000	7.0000	164.0000	10.0000
-56.8129	0.9932	0.9240	0.9171	1747.0000	13.0000	158.0000	12.0000
-56.7271	0.9903	0.9064	0.9183	1742.0000	16.0000	155.0000	17.0000
-56.6413	0.9881	0.9006	0.9186	1738.0000	17.0000	154.0000	21.0000
-56.5555	0.9864	0.8830	0.9199	1735.0000	20.0000	151.0000	24.0000
-56.4697	0.9841	0.8655	0.9212	1731.0000	23.0000	148.0000	28.0000
-56.3839	0.9795	0.8538	0.9219	1723.0000	25.0000	146.0000	36.0000
-56.2981	0.9687	0.8480	0.9216	1704.0000	26.0000	145.0000	55.0000
-56.2123	0.9682	0.8480	0.9215	1703.0000	26.0000	145.0000	56.0000
-56.1265	0.9403	0.8363	0.9204	1654.0000	28.0000	143.0000	105.0000
-56.0407	0.9261	0.7836	0.9240	1629.0000	37.0000	134.0000	130.0000
-55.9549	0.8914	0.7427	0.9251	1568.0000	44.0000	127.0000	191.0000
-55.8691	0.8573	0.7018	0.9263	1508.0000	51.0000	120.0000	251.0000
-55.7833	0.8312	0.6316	0.9312	1462.0000	63.0000	108.0000	297.0000
-55.6975	0.8027	0.5848	0.9339	1412.0000	71.0000	100.0000	347.0000
-55.6117	0.7698	0.4795	0.9429	1354.0000	89.0000	82.0000	405.0000
-55.5259	0.7476	0.4035	0.9501	1315.0000	102.0000	69.0000	444.0000
-55.4401	0.7374	0.3743	0.9530	1297.0000	107.0000	64.0000	462.0000
-55.3543	0.6993	0.3509	0.9535	1230.0000	111.0000	60.0000	529.0000
-55.2685	0.6811	0.3333	0.9546	1198.0000	114.0000	57.0000	561.0000
-55.1827	0.6680	0.3099	0.9568	1175.0000	118.0000	53.0000	584.0000
-55.0969	0.6447	0.2865	0.9586	1134.0000	122.0000	49.0000	625.0000
-55.0111	0.5679	0.2632	0.9569	999.0000	126.0000	45.0000	760.0000
-54.9253	0.4440	0.2398	0.9501	781.0000	130.0000	41.0000	978.0000
-54.8395	0.3980	0.1170	0.9722	700.0000	151.0000	20.0000	1059.0000
-54.7537	0.3240	0.0643	0.9811	570.0000	160.0000	11.0000	1189.0000
-54.6678	0.2865	0.0526	0.9825	504.0000	162.0000	9.0000	1255.0000
-54.5820	0.2439	0.0468	0.9817	429.0000	163.0000	8.0000	1330.0000
-54.4962	0.2410	0.0409	0.9838	424.0000	164.0000	7.0000	1335.0000
-54.4104	0.2399	0.0409	0.9837	422.0000	164.0000	7.0000	1337.0000
-54.3246	0.2388	0.0409	0.9836	420.0000	164.0000	7.0000	1339.0000
-54.2388	0.2365	0.0409	0.9835	416.0000	164.0000	7.0000	1343.0000
-54.1530	0.0978	0.0175	0.9829	172.0000	168.0000	3.0000	1587.0000
-54.0672	0.0961	0.0117	0.9883	169.0000	169.0000	2.0000	1590.0000
-53.9814	0.0114	0.0117	0.9091	20.0000	169.0000	2.0000	1739.0000
-53.8956	0.0108	0.0000	1.0000	19.0000	171.0000	0.0000	1740.0000
-53.8098	0.0102	0.0000	1.0000	18.0000	171.0000	0.0000	1741.0000
-53.7240	0.0080	0.0000	1.0000	14.0000	171.0000	0.0000	1745.0000
-53.6382	0.0068	0.0000	1.0000	12.0000	171.0000	0.0000	1747.0000
-53.5524	0.0068	0.0000	1.0000	12.0000	171.0000	0.0000	1747.0000
-53.4666	0.0068	0.0000	1.0000	12.0000	171.0000	0.0000	1747.0000
-53.3808	0.0057	0.0000	1.0000	10.0000	171.0000	0.0000	1749.0000
-53.2950	0.0057	0.0000	1.0000	10.0000	171.0000	0.0000	1749.0000
-53.2092	0.0057	0.0000	1.0000	10.0000	171.0000	0.0000	1749.0000
-53.1234	0.0057	0.0000	1.0000	10.0000	171.0000	0.0000	1749.0000
-53.0376	0.0057	0.0000	1.0000	10.0000	171.0000	0.0000	1749.0000
-52.9518	0.0045	0.0000	1.0000	8.0000	171.0000	0.0000	1751.0000
-52.8660	0.0045	0.0000	1.0000	8.0000	171.0000	0.0000	1751.0000
-52.7802	0.0045	0.0000	1.0000	8.0000	171.0000	0.0000	1751.0000
-52.6944	0.0040	0.0000	1.0000	7.0000	171.0000	0.0000	1752.0000
-52.6086	0.0040	0.0000	1.0000	7.0000	171.0000	0.0000	1752.0000
-52.5228	0.0040	0.0000	1.0000	7.0000	171.0000	0.0000	1752.0000
-52.4369	0.0028	0.0000	1.0000	5.0000	171.0000	0.0000	1754.0000
-52.3511	0.0028	0.0000	1.0000	5.0000	171.0000	0.0000	1754.0000
-52.2653	0.0028	0.0000	1.0000	5.0000	171.0000	0.0000	1754.0000
-52.1795	0.0028	0.0000	1.0000	5.0000	171.0000	0.0000	1754.0000
-52.0937	0.0023	0.0000	1.0000	4.0000	171.0000	0.0000	1755.0000
-52.0079	0.0023	0.0000	1.0000	4.0000	171.0000	0.0000	1755.0000
-51.9221	0.0023	0.0000	1.0000	4.0000	171.0000	0.0000	1755.0000
-51.8363	0.0023	0.0000	1.0000	4.0000	171.0000	0.0000	1755.0000
-51.7505	0.0023	0.0000	1.0000	4.0000	171.0000	0.0000	1755.0000
-51.6647	0.0023	0.0000	1.0000	4.0000	171.0000	0.0000	1755.0000
-51.5789	0.0023	0.0000	1.0000	4.0000	171.0000	0.0000	1755.0000
-51.4931	0.0023	0.0000	1.0000	4.0000	171.0000	0.0000	1755.0000
-51.4073	0.0023	0.0000	1.0000	4.0000	171.0000	0.0000	1755.0000
-51.3215	0.0023	0.0000	1.0000	4.0000	171.0000	0.0000	1755.0000
-51.2357	0.0017	0.0000	1.0000	3.0000	171.0000	0.0000	1756.0000
-51.1499	0.0017	0.0000	1.0000	3.0000	171.0000	0.0000	1756.0000
-51.0641	0.0017	0.0000	1.0000	3.0000	171.0000	0.0000	1756.0000
-50.9783	0.0017	0.0000	1.0000	3.0000	171.0000	0.0000	1756.0000
-50.8925	0.0011	0.0000	1.0000	2.0000	171.0000	0.0000	1757.0000
-50.8067	0.0011	0.0000	1.0000	2.0000	171.0000	0.0000	1757.0000
-50.7209	0.0011	0.0000	1.0000	2.0000	171.0000	0.0000	1757.0000
-50.6351	0.0011	0.0000	1.0000	2.0000	171.0000	0.0000	1757.0000
-50.5493	0.0011	0.0000	1.0000	2.0000	171.0000	0.0000	1757.0000
-50.4635	0.0011	0.0000	1.0000	2.0000	171.0000	0.0000	1757.0000
-50.3777	0.0011	0.0000	1.0000	2.0000	171.0000	0.0000	1757.0000
-50.2919	0.0011	0.0000	1.0000	2.0000	171.0000	0.0000	1757.0000
-50.2061	0.0011	0.0000	1.0000	2.0000	171.0000	0.0000	1757.0000
-50.1202	0.0006	0.0000	1.0000	1.0000	171.0000	0.0000	1758.0000
-50.0344	0.0006	0.0000	1.0000	1.0000	171.0000	0.0000	1758.0000
-49.9486	0.0006	0.0000	1.0000	1.0000	171.0000	0.0000	1758.0000
-49.8628	0.0006	0.0000	1.0000	1.0000	171.0000	0.0000	1758.0000
-49.7770	0.0006	0.0000	1.0000	1.0000	171.0000	0.0000	1758.0000
-49.6912	0.0006	0.0000	1.0000	1.0000	171.0000	0.0000	1758.0000
-49.6054	0.0006	0.0000	1.0000	1.0000	171.0000	0.0000	1758.0000
-49.5196	0.0006	0.0000	1.0000	1.0000	171.0000	0.0000	1758.0000
-49.4338	0.0000	0.0000	0.0000	0.0000	171.0000	0.0000	1759.0000
-49.3480	0.0000	0.0000	0.0000	0.0000	171.0000	0.0000	1759.0000
