score	tpr	fpr	ppv	tp	tn	fp	fn
-57.7000	1.0000	1.0000	0.9409	1816.0000	0.0000	114.0000	0.0000
-57.6569	1.0000	1.0000	0.9409	1816.0000	0.0000	114.0000	0.0000
-57.6138	0.9994	1.0000	0.9409	1815.0000	0.0000	114.0000	1.0000
-57.5707	0.9994	1.0000	0.9409	1815.0000	0.0000	114.0000	1.0000
-57.5277	0.9994	1.0000	0.9409	1815.0000	0.0000	114.0000	1.0000
-57.4846	0.9994	0.9912	0.9414	1815.0000	1.0000	113.0000	1.0000
-57.4415	0.9994	0.9912	0.9414	1815.0000	1.0000	113.0000	1.0000
-57.3984	0.9994	0.9912	0.9414	1815.0000	1.0000	113.0000	1.0000
-57.3553	0.9983	0.9825	0.9418	1813.0000	2.0000	112.0000	3.0000
-57.3122	0.9983	0.9825	0.9418	1813.0000	2.0000	112.0000	3.0000
-57.2692	0.9983	0.9825	0.9418	1813.0000	2.0000	112.0000	3.0000
-57.2261	0.9983	0.9649	0.9428	1813.0000	4.0000	110.0000	3.0000
-57.1830	0.9978	0.9649	0.9428	1812.0000	4.0000	110.0000	4.0000
-57.1399	0.9978	0.9561	0.9433	1812.0000	5.0000	109.0000	4.0000
-57.0968	0.9972	0.9561	0.9432	1811.0000	5.0000	109.0000	5.0000
-57.0537	0.9972	0.9561	0.9432	1811.0000	5.0000	109.0000	5.0000
-57.0106	0.9967	0.9474	0.9437	1810.0000	6.0000	108.0000	6.0000
-56.9676	0.9961	0.9474	0.9437	1809.0000	6.0000	108.0000	7.0000
-56.9245	0.9956	0.9386	0.9441	1808.0000	7.0000	107.0000	8.0000
-56.8814	0.9956	0.9386	0.9441	1808.0000	7.0000	107.0000	8.0000
-56.8383	0.9956	0.9386	0.9441	1808.0000	7.0000	107.0000	8.0000
-56.7952	0.9950	0.9298	0.9446	1807.0000	8.0000	106.0000	9.0000
-56.7521	0.9945	0.9123	0.9455	1806.0000	10.0000	104.0000	10.0000
-56.7091	0.9934	0.9123	0.9455	1804.0000	10.0000	104.0000	12.0000
-56.6660	0.9928	0.9123	0.9455	1803.0000	10.0000	104.0000	13.0000
-56.6229	0.9912	0.9035	0.9459	1800.0000	11.0000	103.0000	16.0000
-56.5798	0.9912	0.8860	0.9469	1800.0000	13.0000	101.0000	16.0000
-56.5367	0.9906	0.8772	0.9473	1799.0000	14.0000	100.0000	17.0000
-56.4936	0.9901	0.8684	0.9478	1798.0000	15.0000	99.0000	18.0000
-56.4506	0.9890	0.8596	0.9483	1796.0000	16.0000	98.0000	20.0000
-56.4075	0.9890	0.8509	0.9488	1796.0000	17.0000	97.0000	20.0000
-56.3644	0.9868	0.8333	0.9497	1792.0000	19.0000	95.0000	24.0000
-56.3213	0.9862	0.8333	0.9496	1791.0000	19.0000	95.0000	25.0000
-56.2782	0.9835	0.8070	0.9510	1786.0000	22.0000	92.0000	30.0000
-56.2351	0.9818	0.8070	0.9509	1783.0000	22.0000	92.0000	33.0000
-56.1920	0.9791	0.8070	0.9508	1778.0000	22.0000	92.0000	38.0000
-56.1490	0.9758	0.7982	0.9512	1772.0000	23.0000	91.0000	44.0000
-56.1059	0.9747	0.7895	0.9516	1770.0000	24.0000	90.0000	46.0000
-56.0628	0.9741	0.7719	0.9526	1769.0000	26.0000	88.0000	47.0000
-56.0197	0.9697	0.7632	0.9529	1761.0000	27.0000	87.0000	55.0000
-55.9766	0.9598	0.7368	0.9540	1743.0000	30.0000	84.0000	73.0000
-55.9335	0.9554	0.7193	0.9549	1735.0000	32.0000	82.0000	81.0000
-55.8905	0.9493	0.6842	0.9567	1724.0000	36.0000	78.0000	92.0000
-55.8474	0.9444	0.6754	0.9570	1715.0000	37.0000	77.0000	101.0000
-55.8043	0.9345	0.6579	0.9577	1697.0000	39.0000	75.0000	119.0000
-55.7612	0.9196	0.6140	0.9598	1670.0000	44.0000	70.0000	146.0000
-55.7181	0.9064	0.5789	0.9614	1646.0000	48.0000	66.0000	170.0000
-55.6750	0.8981	0.5526	0.9628	1631.0000	51.0000	63.0000	185.0000
-55.6319	0.8860	0.5263	0.9641	1609.0000	54.0000	60.0000	207.0000
-55.5889	0.8805	0.5000	0.9656	1599.0000	57.0000	57.0000	217.0000
-55.5458	0.8700	0.4912	0.9658	1580.0000	58.0000	56.0000	236.0000
-55.5027	0.8447	0.4737	0.9660	1534.0000	60.0000	54.0000	282.0000
-55.4596	0.8331	0.4649	0.9662	1513.0000	61.0000	53.0000	303.0000
-55.4165	0.8227	0.4474	0.9670	1494.0000	63.0000	51.0000	322.0000
-55.3734	0.8111	0.4474	0.9665	1473.0000	63.0000	51.0000	343.0000
-55.3304	0.8029	0.4123	0.9688	1458.0000	67.0000	47.0000	358.0000
-55.2873	0.7847	0.3772	0.9707	1425.0000	71.0000	43.0000	391.0000
-55.2442	0.7654	0.3772	0.9700	1390.0000	71.0000	43.0000	426.0000
-55.2011	0.7417	0.3596	0.9705	1347.0000	73.0000	41.0000	469.0000
