score	tpr	fpr	ppv	tp	tn	fp	fn
-66.4000	1.0000	1.0000	0.6140	1185.0000	0.0000	745.0000	0.0000
-66.2340	0.9992	1.0000	0.6138	1184.0000	0.0000	745.0000	1.0000
-66.0680	0.9992	1.0000	0.6138	1184.0000	0.0000	745.0000	1.0000
-65.9021	0.9992	1.0000	0.6138	1184.0000	0.0000	745.0000	1.0000
-65.7361	0.9992	1.0000	0.6138	1184.0000	0.0000	745.0000	1.0000
-65.5701	0.9992	1.0000	0.6138	1184.0000	0.0000	745.0000	1.0000
-65.4041	0.9992	1.0000	0.6138	1184.0000	0.0000	745.0000	1.0000
-65.2381	0.9966	1.0000	0.6132	1181.0000	0.0000	745.0000	4.0000
-65.0721	0.9966	1.0000	0.6132	1181.0000	0.0000	745.0000	4.0000
-64.9062	0.9949	1.0000	0.6128	1179.0000	0.0000	745.0000	6.0000
-64.7402	0.9949	1.0000	0.6128	1179.0000	0.0000	745.0000	6.0000
-64.5742	0.9941	1.0000	0.6126	1178.0000	0.0000	745.0000	7.0000
-64.4082	0.9932	0.9987	0.6127	1177.0000	1.0000	744.0000	8.0000
-64.2422	0.9932	0.9973	0.6130	1177.0000	2.0000	743.0000	8.0000
-64.0762	0.9916	0.9973	0.6126	1175.0000	2.0000	743.0000	10.0000
-63.9103	0.9899	0.9973	0.6122	1173.0000	2.0000	743.0000	12.0000
-63.7443	0.9882	0.9973	0.6118	1171.0000	2.0000	743.0000	14.0000
-63.5783	0.9865	0.9973	0.6114	1169.0000	2.0000	743.0000	16.0000
-63.4123	0.9831	0.9960	0.6109	1165.0000	3.0000	742.0000	20.0000
-63.2463	0.9797	0.9946	0.6104	1161.0000	4.0000	741.0000	24.0000
-63.0804	0.9781	0.9946	0.6100	1159.0000	4.0000	741.0000	26.0000
-62.9144	0.9764	0.9933	0.6099	1157.0000	5.0000	740.0000	28.0000
-62.7484	0.9713	0.9919	0.6090	1151.0000	6.0000	739.0000	34.0000
-62.5824	0.9696	0.9879	0.6095	1149.0000	9.0000	736.0000	36.0000
-62.4164	0.9671	0.9852	0.6096	1146.0000	11.0000	734.0000	39.0000
-62.2504	0.9586	0.9839	0.6078	1136.0000	12.0000	733.0000	49.0000
-62.0845	0.9426	0.9812	0.6044	1117.0000	14.0000	731.0000	68.0000
-61.9185	0.9359	0.9772	0.6037	1109.0000	17.0000	728.0000	76.0000
-61.7525	0.9333	0.9705	0.6047	1106.0000	22.0000	723.0000	79.0000
-61.5865	0.9232	0.9624	0.6041	1094.0000	28.0000	717.0000	91.0000
-61.4205	0.9190	0.9530	0.6053	1089.0000	35.0000	710.0000	96.0000
-61.2545	0.9156	0.9436	0.6068	1085.0000	42.0000	703.0000	100.0000
-61.0886	0.8996	0.9329	0.6053	1066.0000	50.0000	695.0000	119.0000
-60.9226	0.8793	0.9275	0.6013	1042.0000	54.0000	691.0000	143.0000
-60.7566	0.8743	0.9168	0.6027	1036.0000	62.0000	683.0000	149.0000
-60.5906	0.8700	0.9020	0.6054	1031.0000	73.0000	672.0000	154.0000
-60.4246	0.8608	0.8886	0.6064	1020.0000	83.0000	662.0000	165.0000
-60.2587	0.8422	0.8658	0.6074	998.0000	100.0000	645.0000	187.0000
-60.0927	0.8388	0.8537	0.6098	994.0000	109.0000	636.0000	191.0000
-59.9267	0.8321	0.8376	0.6124	986.0000	121.0000	624.0000	199.0000
-59.7607	0.8084	0.8228	0.6098	958.0000	132.0000	613.0000	227.0000
-59.5947	0.8000	0.7987	0.6144	948.0000	150.0000	595.0000	237.0000
-59.4287	0.7924	0.7812	0.6174	939.0000	163.0000	582.0000	246.0000
-59.2628	0.7705	0.7638	0.6161	913.0000	176.0000	569.0000	272.0000
-59.0968	0.7468	0.7356	0.6176	885.0000	197.0000	548.0000	300.0000
-58.9308	0.7342	0.6953	0.6268	870.0000	227.0000	518.0000	315.0000
-58.7648	0.7308	0.6711	0.6340	866.0000	245.0000	500.0000	319.0000
-58.5988	0.7156	0.6362	0.6415	848.0000	271.0000	474.0000	337.0000
-58.4329	0.6979	0.6134	0.6441	827.0000	288.0000	457.0000	358.0000
-58.2669	0.6869	0.5852	0.6512	814.0000	309.0000	436.0000	371.0000
-58.1009	0.6717	0.5570	0.6573	796.0000	330.0000	415.0000	389.0000
-57.9349	0.6557	0.5235	0.6658	777.0000	355.0000	390.0000	408.0000
-57.7689	0.6498	0.4779	0.6838	770.0000	389.0000	356.0000	415.0000
-57.6029	0.6447	0.4362	0.7016	764.0000	420.0000	325.0000	421.0000
-57.4370	0.6371	0.4027	0.7156	755.0000	445.0000	300.0000	430.0000
-57.2710	0.6135	0.3597	0.7307	727.0000	477.0000	268.0000	458.0000
-57.1050	0.5941	0.3329	0.7395	704.0000	497.0000	248.0000	481.0000
-56.9390	0.5840	0.2926	0.7604	692.0000	527.0000	218.0000	493.0000
-56.7730	0.5637	0.2631	0.7731	668.0000	549.0000	196.0000	517.0000
-56.6070	0.5519	0.2403	0.7851	654.0000	566.0000	179.0000	531.0000
-56.4411	0.5443	0.2013	0.8113	645.0000	595.0000	150.0000	540.0000
-56.2751	0.5249	0.1745	0.8271	622.0000	615.0000	130.0000	563.0000
-56.1091	0.5004	0.1490	0.8423	593.0000	634.0000	111.0000	592.0000
-55.9431	0.4726	0.1181	0.8642	560.0000	657.0000	88.0000	625.0000
-55.7771	0.4582	0.1034	0.8758	543.0000	668.0000	77.0000	642.0000
-55.6112	0.4430	0.0926	0.8838	525.0000	676.0000	69.0000	660.0000
-55.4452	0.4186	0.0779	0.8953	496.0000	687.0000	58.0000	689.0000
-55.2792	0.3949	0.0604	0.9123	468.0000	700.0000	45.0000	717.0000
-55.1132	0.3747	0.0523	0.9193	444.0000	706.0000	39.0000	741.0000
-54.9472	0.3544	0.0430	0.9292	420.0000	713.0000	32.0000	765.0000
-54.7812	0.3384	0.0309	0.9458	401.0000	722.0000	23.0000	784.0000
-54.6153	0.3190	0.0282	0.9474	378.0000	724.0000	21.0000	807.0000
-54.4493	0.3021	0.0255	0.9496	358.0000	726.0000	19.0000	827.0000
-54.2833	0.2751	0.0228	0.9504	326.0000	728.0000	17.0000	859.0000
-54.1173	0.2456	0.0201	0.9510	291.0000	730.0000	15.0000	894.0000
-53.9513	0.2329	0.0201	0.9485	276.0000	730.0000	15.0000	909.0000
-53.7853	0.2152	0.0201	0.9444	255.0000	730.0000	15.0000	930.0000
-53.6194	0.1941	0.0201	0.9388	230.0000	730.0000	15.0000	955.0000
-53.4534	0.1730	0.0174	0.9404	205.0000	732.0000	13.0000	980.0000
-53.2874	0.1519	0.0161	0.9375	180.0000	733.0000	12.0000	1005.0000
-53.1214	0.1392	0.0121	0.9483	165.0000	736.0000	9.0000	1020.0000
-52.9554	0.1249	0.0094	0.9548	148.0000	738.0000	7.0000	1037.0000
-52.7895	0.0970	0.0081	0.9504	115.0000	739.0000	6.0000	1070.0000
-52.6235	0.0878	0.0081	0.9455	104.0000	739.0000	6.0000	1081.0000
-52.4575	0.0785	0.0067	0.9490	93.0000	740.0000	5.0000	1092.0000
-52.2915	0.0549	0.0054	0.9420	65.0000	741.0000	4.0000	1120.0000
-52.1255	0.0489	0.0054	0.9355	58.0000	741.0000	4.0000	1127.0000
