score	tpr	fpr	ppv	tp	tn	fp	fn
-57.7000	1.0000	1.0000	0.9425	1819.0000	0.0000	111.0000	0.0000
-57.6569	1.0000	1.0000	0.9425	1819.0000	0.0000	111.0000	0.0000
-57.6138	0.9995	1.0000	0.9425	1818.0000	0.0000	111.0000	1.0000
-57.5707	0.9995	1.0000	0.9425	1818.0000	0.0000	111.0000	1.0000
-57.5277	0.9995	1.0000	0.9425	1818.0000	0.0000	111.0000	1.0000
-57.4846	0.9995	0.9910	0.9429	1818.0000	1.0000	110.0000	1.0000
-57.4415	0.9995	0.9910	0.9429	1818.0000	1.0000	110.0000	1.0000
-57.3984	0.9995	0.9910	0.9429	1818.0000	1.0000	110.0000	1.0000
-57.3553	0.9984	0.9910	0.9429	1816.0000	1.0000	110.0000	3.0000
-57.3122	0.9984	0.9820	0.9434	1816.0000	2.0000	109.0000	3.0000
-57.2692	0.9984	0.9820	0.9434	1816.0000	2.0000	109.0000	3.0000
-57.2261	0.9984	0.9730	0.9439	1816.0000	3.0000	108.0000	3.0000
-57.1830	0.9978	0.9640	0.9443	1815.0000	4.0000	107.0000	4.0000
-57.1399	0.9978	0.9550	0.9448	1815.0000	5.0000	106.0000	4.0000
-57.0968	0.9973	0.9550	0.9448	1814.0000	5.0000	106.0000	5.0000
-57.0537	0.9973	0.9550	0.9448	1814.0000	5.0000	106.0000	5.0000
-57.0106	0.9973	0.9550	0.9448	1814.0000	5.0000	106.0000	5.0000
-56.9676	0.9962	0.9459	0.9452	1812.0000	6.0000	105.0000	7.0000
-56.9245	0.9956	0.9369	0.9457	1811.0000	7.0000	104.0000	8.0000
-56.8814	0.9956	0.9369	0.9457	1811.0000	7.0000	104.0000	8.0000
-56.8383	0.9956	0.9369	0.9457	1811.0000	7.0000	104.0000	8.0000
-56.7952	0.9951	0.9369	0.9457	1810.0000	7.0000	104.0000	9.0000
-56.7521	0.9951	0.9279	0.9462	1810.0000	8.0000	103.0000	9.0000
-56.7091	0.9940	0.9099	0.9471	1808.0000	10.0000	101.0000	11.0000
-56.6660	0.9934	0.9099	0.9471	1807.0000	10.0000	101.0000	12.0000
-56.6229	0.9918	0.9099	0.9470	1804.0000	10.0000	101.0000	15.0000
-56.5798	0.9912	0.9009	0.9475	1803.0000	11.0000	100.0000	16.0000
-56.5367	0.9912	0.8739	0.9489	1803.0000	14.0000	97.0000	16.0000
-56.4936	0.9901	0.8649	0.9494	1801.0000	15.0000	96.0000	18.0000
-56.4506	0.9896	0.8649	0.9494	1800.0000	15.0000	96.0000	19.0000
-56.4075	0.9890	0.8468	0.9503	1799.0000	17.0000	94.0000	20.0000
-56.3644	0.9885	0.8288	0.9513	1798.0000	19.0000	92.0000	21.0000
-56.3213	0.9863	0.8288	0.9512	1794.0000	19.0000	92.0000	25.0000
-56.2782	0.9846	0.8108	0.9522	1791.0000	21.0000	90.0000	28.0000
-56.2351	0.9830	0.8018	0.9526	1788.0000	22.0000	89.0000	31.0000
-56.1920	0.9791	0.8018	0.9524	1781.0000	22.0000	89.0000	38.0000
-56.1490	0.9764	0.7928	0.9528	1776.0000	23.0000	88.0000	43.0000
-56.1059	0.9747	0.7928	0.9527	1773.0000	23.0000	88.0000	46.0000
-56.0628	0.9742	0.7658	0.9542	1772.0000	26.0000	85.0000	47.0000
-56.0197	0.9709	0.7658	0.9541	1766.0000	26.0000	85.0000	53.0000
-55.9766	0.9615	0.7387	0.9552	1749.0000	29.0000	82.0000	70.0000
-55.9335	0.9555	0.7207	0.9560	1738.0000	31.0000	80.0000	81.0000
-55.8905	0.9511	0.6847	0.9579	1730.0000	35.0000	76.0000	89.0000
-55.8474	0.9456	0.6847	0.9577	1720.0000	35.0000	76.0000	99.0000
-55.8043	0.9351	0.6577	0.9589	1701.0000	38.0000	73.0000	118.0000
-55.7612	0.9236	0.6306	0.9600	1680.0000	41.0000	70.0000	139.0000
-55.7181	0.9076	0.5766	0.9627	1651.0000	47.0000	64.0000	168.0000
-55.6750	0.8988	0.5586	0.9635	1635.0000	49.0000	62.0000	184.0000
-55.6319	0.8895	0.5225	0.9654	1618.0000	53.0000	58.0000	201.0000
-55.5889	0.8818	0.4955	0.9668	1604.0000	56.0000	55.0000	215.0000
-55.5458	0.8736	0.4865	0.9671	1589.0000	57.0000	54.0000	230.0000
-55.5027	0.8538	0.4775	0.9670	1553.0000	58.0000	53.0000	266.0000
-55.4596	0.8329	0.4595	0.9674	1515.0000	60.0000	51.0000	304.0000
-55.4165	0.8246	0.4414	0.9684	1500.0000	62.0000	49.0000	319.0000
-55.3734	0.8120	0.4414	0.9679	1477.0000	62.0000	49.0000	342.0000
-55.3304	0.8043	0.4054	0.9702	1463.0000	66.0000	45.0000	356.0000
-55.2873	0.7927	0.3784	0.9717	1442.0000	69.0000	42.0000	377.0000
-55.2442	0.7763	0.3694	0.9718	1412.0000	70.0000	41.0000	407.0000
-55.2011	0.7493	0.3604	0.9715	1363.0000	71.0000	40.0000	456.0000
-55.1580	0.7345	0.3243	0.9738	1336.0000	75.0000	36.0000	483.0000
-55.1149	0.7152	0.3153	0.9738	1301.0000	76.0000	35.0000	518.0000
-55.0718	0.7004	0.2793	0.9762	1274.0000	80.0000	31.0000	545.0000
-55.0288	0.6817	0.2703	0.9764	1240.0000	81.0000	30.0000	579.0000
-54.9857	0.6520	0.2613	0.9761	1186.0000	82.0000	29.0000	633.0000
-54.9426	0.6372	0.2613	0.9756	1159.0000	82.0000	29.0000	660.0000
-54.8995	0.6212	0.2342	0.9775	1130.0000	85.0000	26.0000	689.0000
-54.8564	0.6086	0.2162	0.9788	1107.0000	87.0000	24.0000	712.0000
-54.8133	0.5860	0.2072	0.9789	1066.0000	88.0000	23.0000	753.0000
-54.7703	0.5481	0.1712	0.9813	997.0000	92.0000	19.0000	822.0000
-54.7272	0.5179	0.1441	0.9833	942.0000	95.0000	16.0000	877.0000
-54.6841	0.4810	0.1441	0.9820	875.0000	95.0000	16.0000	944.0000
-54.6410	0.4618	0.1171	0.9848	840.0000	98.0000	13.0000	979.0000
-54.5979	0.4387	0.0991	0.9864	798.0000	100.0000	11.0000	1021.0000
-54.5548	0.4079	0.0811	0.9880	742.0000	102.0000	9.0000	1077.0000
-54.5117	0.3810	0.0721	0.9886	693.0000	103.0000	8.0000	1126.0000
-54.4687	0.3573	0.0631	0.9893	650.0000	104.0000	7.0000	1169.0000
-54.4256	0.3419	0.0631	0.9889	622.0000	104.0000	7.0000	1197.0000
-54.3825	0.3167	0.0631	0.9880	576.0000	104.0000	7.0000	1243.0000
-54.3394	0.3095	0.0631	0.9877	563.0000	104.0000	7.0000	1256.0000
-54.2963	0.2804	0.0631	0.9865	510.0000	104.0000	7.0000	1309.0000
-54.2532	0.2512	0.0631	0.9849	457.0000	104.0000	7.0000	1362.0000
-54.2102	0.2309	0.0541	0.9859	420.0000	105.0000	6.0000	1399.0000
-54.1671	0.2221	0.0541	0.9854	404.0000	105.0000	6.0000	1415.0000
-54.1240	0.2100	0.0541	0.9845	382.0000	105.0000	6.0000	1437.0000
-54.0809	0.2001	0.0450	0.9864	364.0000	106.0000	5.0000	1455.0000
-54.0378	0.1693	0.0270	0.9904	308.0000	108.0000	3.0000	1511.0000
-53.9947	0.1594	0.0270	0.9898	290.0000	108.0000	3.0000	1529.0000
-53.9517	0.1308	0.0270	0.9876	238.0000	108.0000	3.0000	1581.0000
-53.9086	0.1028	0.0270	0.9842	187.0000	108.0000	3.0000	1632.0000
-53.8655	0.1028	0.0270	0.9842	187.0000	108.0000	3.0000	1632.0000
-53.8224	0.0836	0.0270	0.9806	152.0000	108.0000	3.0000	1667.0000
-53.7793	0.0742	0.0180	0.9854	135.0000	109.0000	2.0000	1684.0000
-53.7362	0.0555	0.0180	0.9806	101.0000	109.0000	2.0000	1718.0000
-53.6931	0.0473	0.0090	0.9885	86.0000	110.0000	1.0000	1733.0000
-53.6501	0.0473	0.0090	0.9885	86.0000	110.0000	1.0000	1733.0000
-53.6070	0.0396	0.0090	0.9863	72.0000	110.0000	1.0000	1747.0000
-53.5639	0.0297	0.0090	0.9818	54.0000	110.0000	1.0000	1765.0000
-53.5208	0.0165	0.0000	1.0000	30.0000	111.0000	0.0000	1789.0000
-53.4777	0.0165	0.0000	1.0000	30.0000	111.0000	0.0000	1789.0000
-53.4346	0.0165	0.0000	1.0000	30.0000	111.0000	0.0000	1789.0000
-53.3916	0.0165	0.0000	1.0000	30.0000	111.0000	0.0000	1789.0000
-53.3485	0.0082	0.0000	1.0000	15.0000	111.0000	0.0000	1804.0000
-53.3054	0.0000	0.0000	0.0000	0.0000	111.0000	0.0000	1819.0000
-53.2623	0.0000	0.0000	0.0000	0.0000	111.0000	0.0000	1819.0000
