score	tpr	fpr	ppv	tp	tn	fp	fn
-66.2000	1.0000	1.0000	0.6440	1243.0000	0.0000	687.0000	0.0000
-66.0378	0.9992	1.0000	0.6439	1242.0000	0.0000	687.0000	1.0000
-65.8756	0.9992	1.0000	0.6439	1242.0000	0.0000	687.0000	1.0000
-65.7134	0.9992	1.0000	0.6439	1242.0000	0.0000	687.0000	1.0000
-65.5513	0.9992	1.0000	0.6439	1242.0000	0.0000	687.0000	1.0000
-65.3891	0.9984	1.0000	0.6437	1241.0000	0.0000	687.0000	2.0000
-65.2269	0.9976	1.0000	0.6435	1240.0000	0.0000	687.0000	3.0000
-65.0647	0.9976	1.0000	0.6435	1240.0000	0.0000	687.0000	3.0000
-64.9025	0.9976	1.0000	0.6435	1240.0000	0.0000	687.0000	3.0000
-64.7403	0.9976	1.0000	0.6435	1240.0000	0.0000	687.0000	3.0000
-64.5782	0.9968	1.0000	0.6433	1239.0000	0.0000	687.0000	4.0000
-64.4160	0.9960	0.9985	0.6435	1238.0000	1.0000	686.0000	5.0000
-64.2538	0.9952	0.9985	0.6433	1237.0000	1.0000	686.0000	6.0000
-64.0916	0.9920	0.9971	0.6429	1233.0000	2.0000	685.0000	10.0000
-63.9294	0.9912	0.9956	0.6430	1232.0000	3.0000	684.0000	11.0000
-63.7672	0.9912	0.9956	0.6430	1232.0000	3.0000	684.0000	11.0000
-63.6051	0.9879	0.9956	0.6423	1228.0000	3.0000	684.0000	15.0000
-63.4429	0.9863	0.9942	0.6422	1226.0000	4.0000	683.0000	17.0000
-63.2807	0.9847	0.9942	0.6418	1224.0000	4.0000	683.0000	19.0000
-63.1185	0.9831	0.9942	0.6415	1222.0000	4.0000	683.0000	21.0000
-62.9563	0.9807	0.9927	0.6412	1219.0000	5.0000	682.0000	24.0000
-62.7941	0.9783	0.9898	0.6414	1216.0000	7.0000	680.0000	27.0000
-62.6320	0.9767	0.9884	0.6413	1214.0000	8.0000	679.0000	29.0000
-62.4698	0.9718	0.9884	0.6402	1208.0000	8.0000	679.0000	35.0000
-62.3076	0.9638	0.9854	0.6389	1198.0000	10.0000	677.0000	45.0000
-62.1454	0.9590	0.9825	0.6385	1192.0000	12.0000	675.0000	51.0000
-61.9832	0.9525	0.9811	0.6372	1184.0000	13.0000	674.0000	59.0000
-61.8210	0.9421	0.9782	0.6354	1171.0000	15.0000	672.0000	72.0000
-61.6588	0.9292	0.9753	0.6329	1155.0000	17.0000	670.0000	88.0000
-61.4967	0.9268	0.9680	0.6340	1152.0000	22.0000	665.0000	91.0000
-61.3345	0.9212	0.9636	0.6336	1145.0000	25.0000	662.0000	98.0000
-61.1723	0.9155	0.9520	0.6350	1138.0000	33.0000	654.0000	105.0000
-61.0101	0.9035	0.9360	0.6359	1123.0000	44.0000	643.0000	120.0000
-60.8479	0.8906	0.9258	0.6351	1107.0000	51.0000	636.0000	136.0000
-60.6857	0.8769	0.9098	0.6356	1090.0000	62.0000	625.0000	153.0000
-60.5236	0.8681	0.8996	0.6358	1079.0000	69.0000	618.0000	164.0000
-60.3614	0.8576	0.8879	0.6360	1066.0000	77.0000	610.0000	177.0000
-60.1992	0.8512	0.8705	0.6389	1058.0000	89.0000	598.0000	185.0000
-60.0370	0.8423	0.8544	0.6408	1047.0000	100.0000	587.0000	196.0000
-59.8748	0.8254	0.8341	0.6417	1026.0000	114.0000	573.0000	217.0000
-59.7126	0.8109	0.8195	0.6416	1008.0000	124.0000	563.0000	235.0000
-59.5505	0.8013	0.7933	0.6463	996.0000	142.0000	545.0000	247.0000
-59.3883	0.7860	0.7729	0.6479	977.0000	156.0000	531.0000	266.0000
-59.2261	0.7659	0.7584	0.6463	952.0000	166.0000	521.0000	291.0000
-59.0639	0.7562	0.7278	0.6528	940.0000	187.0000	500.0000	303.0000
-58.9017	0.7418	0.6987	0.6576	922.0000	207.0000	480.0000	321.0000
-58.7395	0.7289	0.6623	0.6657	906.0000	232.0000	455.0000	337.0000
-58.5773	0.7152	0.6361	0.6704	889.0000	250.0000	437.0000	354.0000
-58.4152	0.7039	0.6026	0.6788	875.0000	273.0000	414.0000	368.0000
-58.2530	0.6903	0.5750	0.6848	858.0000	292.0000	395.0000	385.0000
-58.0908	0.6734	0.5357	0.6946	837.0000	319.0000	368.0000	406.0000
-57.9286	0.6613	0.4993	0.7056	822.0000	344.0000	343.0000	421.0000
-57.7664	0.6484	0.4672	0.7152	806.0000	366.0000	321.0000	437.0000
-57.6042	0.6356	0.4265	0.7295	790.0000	394.0000	293.0000	453.0000
-57.4421	0.6235	0.3945	0.7409	775.0000	416.0000	271.0000	468.0000
